index,name,groups,_pos
0,1,1,"array([-0.9061863,  3.5496249])"
1,2,1,"array([-0.90508109,  3.41488439])"
2,3,1,"array([-0.80582453,  3.43785648])"
3,4,1,"array([-0.91414413,  3.49198002])"
4,5,1,"array([-0.93744033,  3.65943465])"
5,6,1,"array([-0.93865958,  3.74161264])"
6,7,1,"array([-1.00989294,  3.70405542])"
7,8,1,"array([-0.96040819,  3.44806472])"
8,9,1,"array([-0.74180045,  3.4371408 ])"
9,10,2,"array([-0.79495671,  3.28583456])"
10,11,1,"array([-0.86147566,  3.69522019])"
11,12,1,"array([-1.08782867,  3.59585986])"
12,13,1,"array([-1.00609509,  3.565945  ])"
13,14,1,"array([-0.82331101,  3.49969363])"
14,15,2,"array([-0.50858156,  3.33021762])"
15,16,2,"array([-0.69973515,  3.25814535])"
16,17,1,"array([-1.0253375,  3.822035 ])"
17,18,1,"array([-1.01129734,  3.38827193])"
18,19,2,"array([-0.63596067,  3.2325222 ])"
19,20,1,"array([-0.84501658,  3.37787024])"
20,21,2,"array([-0.58022324,  3.30563348])"
21,22,1,"array([-1.04137114,  3.47222394])"
22,23,2,"array([-0.5551919 ,  3.24516724])"
23,24,2,"array([-0.56698289,  3.49048696])"
24,25,2,"array([-0.55155392,  3.58746611])"
25,26,2,"array([-0.59679323,  3.63971572])"
26,27,2,"array([-0.46670922,  3.42441603])"
27,28,2,"array([-0.63922418,  3.49088677])"
28,29,2,"array([-0.73796645,  3.52167966])"
29,30,2,"array([-0.54324813,  3.41360979])"
30,31,2,"array([-0.75415802,  3.35227941])"
31,32,2,"array([-0.6825441 ,  3.54524206])"
32,33,2,"array([-0.63438106,  3.36110647])"
33,34,2,"array([-0.66408515,  3.3917877 ])"
